method,split,query_id,n_input,n_output,input_tokens,output_tokens,compression_ratio,reduction_pct,recall,precision,f1,ndcg,latency_ms
FCNP,synthetic_g1,syn-17,80,5,985,55,17.90909090909091,94.41624365482232,0.0,0.0,0.0,0.0,19.83182099502301
FCNP-Hybrid,synthetic_g1,syn-17,80,21,985,252,3.9087301587301586,74.41624365482234,0.2,0.047619047619047616,0.07692307692307693,0.11305340175787204,38.231200000154786
NoCompression,synthetic_g1,syn-18,80,80,985,985,1.0,0.0,1.0,0.0625,0.11764705882352941,0.3395308578306013,0.0012610034900717437
Random,synthetic_g1,syn-18,80,5,985,55,17.90909090909091,94.41624365482232,0.0,0.0,0.0,0.0,0.03540900070220232
TopKImportance,synthetic_g1,syn-18,80,5,985,55,17.90909090909091,94.41624365482232,0.0,0.0,0.0,0.0,0.015682002413086593
BM25,synthetic_g1,syn-18,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.5704829964088276
DenseTopK,synthetic_g1,syn-18,80,5,985,76,12.960526315789474,92.28426395939087,0.2,0.2,0.20000000000000004,0.3391602052736161,0.3591579952626489
SelectiveContext,synthetic_g1,syn-18,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.5839089935761876
LLMLingua,synthetic_g1,syn-18,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.4283739981474355
FCNP,synthetic_g1,syn-18,80,5,985,76,12.960526315789474,92.28426395939087,0.2,0.2,0.20000000000000004,0.21398626473452756,21.673762996215373
FCNP-Hybrid,synthetic_g1,syn-18,80,21,985,252,3.9087301587301586,74.41624365482234,0.2,0.047619047619047616,0.07692307692307693,0.21398626473452756,19.971319001342636
NoCompression,synthetic_g1,syn-19,80,80,985,985,1.0,0.0,1.0,0.0625,0.11764705882352941,0.5134957910384061,0.0016370031516999006
Random,synthetic_g1,syn-19,80,5,985,55,17.90909090909091,94.41624365482232,0.0,0.0,0.0,0.0,0.04174299829173833
TopKImportance,synthetic_g1,syn-19,80,5,985,97,10.154639175257731,90.15228426395939,0.4,0.4,0.4000000000000001,0.27727342735504823,0.017124999430961907
BM25,synthetic_g1,syn-19,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.5256599979475141
DenseTopK,synthetic_g1,syn-19,80,5,985,76,12.960526315789474,92.28426395939087,0.2,0.2,0.20000000000000004,0.3391602052736161,0.2157299968530424
SelectiveContext,synthetic_g1,syn-19,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.4854400031035766
LLMLingua,synthetic_g1,syn-19,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.38072300230851397
FCNP,synthetic_g1,syn-19,80,5,985,76,12.960526315789474,92.28426395939087,0.2,0.2,0.20000000000000004,0.3391602052736161,20.058273999893572
FCNP-Hybrid,synthetic_g1,syn-19,80,21,985,273,3.608058608058608,72.28426395939087,0.4,0.09523809523809523,0.15384615384615385,0.4412576003965278,18.436124999425374
NoCompression,synthetic_g1,syn-20,80,80,985,985,1.0,0.0,1.0,0.0625,0.11764705882352941,0.49795964847829033,0.002349996066186577
Random,synthetic_g1,syn-20,80,5,985,76,12.960526315789474,92.28426395939087,0.2,0.2,0.20000000000000004,0.21398626473452756,0.04557100328383967
TopKImportance,synthetic_g1,syn-20,80,5,985,76,12.960526315789474,92.28426395939087,0.2,0.2,0.20000000000000004,0.21398626473452756,0.01579600211698562
BM25,synthetic_g1,syn-20,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.52816400420852
DenseTopK,synthetic_g1,syn-20,80,5,985,55,17.90909090909091,94.41624365482232,0.0,0.0,0.0,0.0,0.1999160012928769
SelectiveContext,synthetic_g1,syn-20,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.4391229958855547
LLMLingua,synthetic_g1,syn-20,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.374969000404235
FCNP,synthetic_g1,syn-20,80,5,985,55,17.90909090909091,94.41624365482232,0.0,0.0,0.0,0.0,18.753149000986014
FCNP-Hybrid,synthetic_g1,syn-20,80,21,985,231,4.264069264069264,76.5482233502538,0.0,0.0,0.0,0.0,18.918752000899985
NoCompression,synthetic_g1,syn-21,80,80,985,985,1.0,0.0,1.0,0.0625,0.11764705882352941,0.35686912141959365,0.0017740021576173604
Random,synthetic_g1,syn-21,80,5,985,55,17.90909090909091,94.41624365482232,0.0,0.0,0.0,0.0,0.039026999729685485
TopKImportance,synthetic_g1,syn-21,80,5,985,55,17.90909090909091,94.41624365482232,0.0,0.0,0.0,0.0,0.03200399805791676
BM25,synthetic_g1,syn-21,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.5431070021586493
